304678fb79adc7d18bc570816e65c16f.(9, 6).Apex	so much packed in a small <e1>case</e1> and very <e2>affordable</e2>
5af90fdafd59b525226aefa2ffc9fd00.(28, 6).Apex	i read in consumer report that <e1>apex</e1> is a reliable brand but with my experience and reading the other review i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
5af90fdafd59b525226aefa2ffc9fd00.(28, 10).Apex	i read in consumer report that apex is a reliable <e1>brand</e1> but with my experience and reading the other review i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(14, 54).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd <e2>burner</e2> itself that i had made the disc with
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(10, 27).Apex	i looked into buying an inexpensive dvd player that had <e1>more</e1> than the standard set of feature and this item seemed to be the best in that <e2>category</e2>
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(18, 27).Apex	all in all trying to save some money on this player resulted in me shelling a great deal <e1>more</e1> when i purchased a much nicer dvd vcr <e2>combo</e2> player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(28, 3).Apex	i read in <e1>consumer</e1> report that apex is a reliable brand but with my experience and reading the other review i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(18, 34).Apex	all in all trying to save some money on this player resulted in me shelling a great deal <e1>more</e1> when i purchased a much nicer dvd vcr combo player to make up for blazing <e2>crappiness</e2> of this very embarassing gift
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(18, 17).Apex	all in all trying to save some money on this player resulted in me shelling a great <e1>deal</e1> <e2>more</e2> when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(14, 19).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium <e2>disc</e2> 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 61).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the <e2>disc</e2> with
-(e1, e2)
315c1f1d70df18c343035b159b8fa102.(6, 17).Apex	it would spin read spin some <e1>more</e1> and then show on the display that there was no <e2>disc</e2>
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(28, 14).Apex	i read in consumer report that apex is a reliable brand but with my <e1>experience</e1> and reading the other review i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
d8105077a4434e718fee25bbe1966b63.(10, 16).Apex	i looked into buying an inexpensive dvd player that had <e1>more</e1> than the standard set of <e2>feature</e2> and this item seemed to be the best in that category
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(18, 39).Apex	all in all trying to save some money on this player resulted in me shelling a great deal <e1>more</e1> when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing <e2>gift</e2>
-(e1, e2)
d8105077a4434e718fee25bbe1966b63.(10, 19).Apex	i looked into buying an inexpensive dvd player that had <e1>more</e1> than the standard set of feature and this <e2>item</e2> seemed to be the best in that category
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 35).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium disc 's that other player would play but to my surprise was able to play cheep <e2>medium</e2> that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 18).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r <e2>medium</e2> disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(18, 7).Apex	all in all trying to save some <e1>money</e1> on this player resulted in me shelling a great deal <e2>more</e2> when i purchased a much nicer dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(18, 24).Apex	all in all trying to save some money on this player resulted in me shelling a great deal <e1>more</e1> when i purchased a much <e2>nicer</e2> dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 11).Apex	when i 1st tried it i found that it had no <e1>problem</e1> playing the <e2>more</e2> expensive dvd r medium disc 's that other player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
5af90fdafd59b525226aefa2ffc9fd00.(28, 34).Apex	i read in consumer report that apex is a reliable brand but with my experience and reading the other review i think i will be doing a little <e1>more</e1> homework before considering another apex <e2>product</e2>
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(28, 4).Apex	i read in consumer <e1>report</e1> that apex is a reliable brand but with my experience and reading the other review i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
5af90fdafd59b525226aefa2ffc9fd00.(28, 19).Apex	i read in consumer report that apex is a reliable brand but with my experience and reading the other <e1>review</e1> i think i will be doing a little <e2>more</e2> homework before considering another apex product
-(e2, e1)
d8105077a4434e718fee25bbe1966b63.(10, 14).Apex	i looked into buying an inexpensive dvd player that had <e1>more</e1> than the standard <e2>set</e2> of feature and this item seemed to be the best in that category
-(e1, e2)
fe19754870ba8de34ab8b68d4788bf6a.(4, 7).Apex	update the finish is <e1>more</e1> mirror than <e2>silver</e2> and i like it
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(14, 29).Apex	when i 1st tried it i found that it had no problem playing the <e1>more</e1> expensive dvd r medium disc 's that other player would play but to my <e2>surprise</e2> was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
fe19754870ba8de34ab8b68d4788bf6a.(4, 0).Apex	<e1>update</e1> the finish is <e2>more</e2> mirror than silver and i like it
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(18, 26).Apex	all in all trying to save some money on this player resulted in me shelling a great deal <e1>more</e1> when i purchased a much nicer dvd <e2>vcr</e2> combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(16, 23).Apex	for the first few week this player was everything i expected it to be an affordable <e1>multi-format</e1> dvd player with a stylish slim <e2>case</e2> as advertised
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(16, 17).Apex	for the first few week this player was everything i expected it to be an affordable <e1>multi-format</e1> <e2>dvd</e2> player with a stylish slim case as advertised
-(e1, e2)
e84bda7445af61e44a722324fcdbccf7.(16, 18).Apex	still i was willing to overlook those thing as this unit look sleek and has a <e1>myriad</e1> of <e2>feature</e2>
-(e1, e2)
e84bda7445af61e44a722324fcdbccf7.(16, 16).Apex	still i was willing to overlook those thing as this unit look sleek and has a <e2><e1>myriad</e1></e2> of feature
-(e2, e1)
e4730539ff132950b9f794e6c42e8042.(16, 11).Apex	it worked from 12-26 to 1 9 at which time the <e1>picture</e1> failed completely see other <e2>negative</e2> reviews-my unit was n 't the only one this happened to
-(e2, e1)
ded43ef4232c5c23698e001714547447.(0, 1).Apex	<e1>new</e1> <e2>cd</e2> almost always began skipping after a few play
-(e1, e2)
6e5204af1151707aebba1f5f0526b68d.(16, 6).Apex	on here of course also a <e1>couple</e1> dvd 's would n 't play and they were <e2>new</e2> one
-(e2, e1)
6e5204af1151707aebba1f5f0526b68d.(16, 3).Apex	on here of <e1>course</e1> also a couple dvd 's would n 't play and they were <e2>new</e2> one
-(e2, e1)
9bda6f3b3d54d3179789e2d0c3aa99fa.(6, 12).Apex	for example i tried playing my <e1>new</e1> pirate of the carribean extra <e2>feature</e2> dvd but this dvd player can not read it
-(e1, e2)
9bda6f3b3d54d3179789e2d0c3aa99fa.(6, 7).Apex	for example i tried playing my <e1>new</e1> <e2>pirate</e2> of the carribean extra feature dvd but this dvd player can not read it
-(e1, e2)
ded43ef4232c5c23698e001714547447.(0, 9).Apex	<e1>new</e1> cd almost always began skipping after a few <e2>play</e2>
-(e1, e2)
6e5204af1151707aebba1f5f0526b68d.(16, 12).Apex	on here of course also a couple dvd 's would n 't <e1>play</e1> and they were <e2>new</e2> one
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(24, 27).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e1>nicer</e1> dvd vcr <e2>combo</e2> player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(24, 34).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e1>nicer</e1> dvd vcr combo player to make up for blazing <e2>crappiness</e2> of this very embarassing gift
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(24, 17).Apex	all in all trying to save some money on this player resulted in me shelling a great <e1>deal</e1> more when i purchased a much <e2>nicer</e2> dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(24, 25).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e1>nicer</e1> <e2>dvd</e2> vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(24, 39).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e1>nicer</e1> dvd vcr combo player to make up for blazing crappiness of this very embarassing <e2>gift</e2>
-(e1, e2)
9982cf025cf09cf43f1be57afa09155b.(24, 24).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e2><e1>nicer</e1></e2> dvd vcr combo player to make up for blazing crappiness of this very embarassing gift
-(e2, e1)
9982cf025cf09cf43f1be57afa09155b.(24, 26).Apex	all in all trying to save some money on this player resulted in me shelling a great deal more when i purchased a much <e1>nicer</e1> dvd <e2>vcr</e2> combo player to make up for blazing crappiness of this very embarassing gift
-(e1, e2)
d1f50b170c43b383723518bc9faf225b.(16, 12).Apex	because of it 's hidden feature no macrovision non-regional i keep this <e1>baby</e1> around to watch <e2>non-american</e2> region dvd 's
-(e2, e1)
d1f50b170c43b383723518bc9faf225b.(16, 7).Apex	because of it 's hidden feature no <e1>macrovision</e1> non-regional i keep this baby around to watch <e2>non-american</e2> region dvd 's
-(e2, e1)
d1f50b170c43b383723518bc9faf225b.(16, 17).Apex	because of it 's hidden feature no macrovision non-regional i keep this baby around to watch <e1>non-american</e1> <e2>region</e2> dvd 's
-(e1, e2)
e1fa274c45a3d786c5a8eef4ad84ec31.(6, 4).Apex	i called apex 's <e1>support</e1> number <e2>numerous</e2> time but it just kept ringing
-(e2, e1)
9151bec746be1369933e0711724fabba.(8, 35).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to <e2>access</e2> certain special feature on a rental dvd
-(e1, e2)
9151bec746be1369933e0711724fabba.(8, 42).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special feature on a rental <e2>dvd</e2>
-(e1, e2)
9151bec746be1369933e0711724fabba.(8, 4).Apex	the player usually play <e1>dvd</e1> 's but has <e2>occasional</e2> problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special feature on a rental dvd
-(e2, e1)
9151bec746be1369933e0711724fabba.(8, 16).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a <e2>dvd</e2> 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special feature on a rental dvd
-(e1, e2)
cd5b349634b4fc9c4d56bec8bf4015ef.(20, 17).Apex	i 've had the player for about 2 year now and it still performs nicely with the <e1>exception</e1> of an <e2>occasional</e2> wwhhhrrr sound from the motor
-(e2, e1)
9151bec746be1369933e0711724fabba.(8, 38).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special <e2>feature</e2> on a rental dvd
-(e1, e2)
cd5b349634b4fc9c4d56bec8bf4015ef.(20, 25).Apex	i 've had the player for about 2 year now and it still performs nicely with the exception of an <e1>occasional</e1> wwhhhrrr sound from the <e2>motor</e2>
-(e1, e2)
9151bec746be1369933e0711724fabba.(8, 24).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a dvd 2 stopping a particular point in a <e2>movie</e2> every time we played it 3 not being able to access certain special feature on a rental dvd
-(e1, e2)
9151bec746be1369933e0711724fabba.(8, 21).Apex	the player usually play dvd 's but has <e1>occasional</e1> problem such as 1 not recognizing a dvd 2 stopping a particular <e2>point</e2> in a movie every time we played it 3 not being able to access certain special feature on a rental dvd
-(e1, e2)
9151bec746be1369933e0711724fabba.(8, 9).Apex	the player usually play dvd 's but has <e1>occasional</e1> <e2>problem</e2> such as 1 not recognizing a dvd 2 stopping a particular point in a movie every time we played it 3 not being able to access certain special feature on a rental dvd
-(e1, e2)
cd5b349634b4fc9c4d56bec8bf4015ef.(20, 8).Apex	i 've had the player for about 2 <e1>year</e1> now and it still performs nicely with the exception of an <e2>occasional</e2> wwhhhrrr sound from the motor
-(e2, e1)
b04a1b6bbf5356e9d6ebf7e31273b479.(10, 11).Apex	it did play a dvd-r which was unplayable in my <e1>older</e1> <e2>philip</e2> machine
-(e1, e2)
5a3288ba1d03d602b3367a0c74ac0315.(1, 31).Apex	the <e1>only</e1> thing i did experience was a problem of the player freezing while playing which i was able to clear by opening it up and blowing it out with canned <e2>air</e2>
-(e1, e2)
5a3288ba1d03d602b3367a0c74ac0315.(1, 5).Apex	the <e1>only</e1> thing i did <e2>experience</e2> was a problem of the player freezing while playing which i was able to clear by opening it up and blowing it out with canned air
-(e1, e2)
a66b194c44c2a5f041dfcb010cfe3532.(2, 8).Apex	i can <e1>only</e1> hear the sound but no <e2>picture</e2>
-(e1, e2)
542d552b6a80169971106c0493d88457.(18, 23).Apex	when i hooked it up it only produced sound a cd played fine but with a dvd i <e1>only</e1> got the audio no <e2>picture</e2>
-(e1, e2)
542d552b6a80169971106c0493d88457.(6, 23).Apex	when i hooked it up it <e1>only</e1> produced sound a cd played fine but with a dvd i only got the audio no <e2>picture</e2>
-(e1, e2)
e4730539ff132950b9f794e6c42e8042.(23, 11).Apex	it worked from 12-26 to 1 9 at which time the <e1>picture</e1> failed completely see other negative reviews-my unit was n 't the <e2>only</e2> one this happened to
-(e2, e1)
0d0f8d64973f708c799e4e49d6909dfd.(17, 11).Apex	it sends discoutinous signal to tv so the tv has the <e1>picture</e1> for one moment and has <e2>only</e2> the white noise for the other moment
-(e2, e1)
29d2614f705ec8f146e4eddeb3c87bcf.(11, 17).Apex	finally amazon 's free shipping is really getting good it took <e1>only</e1> 3 working day for the <e2>player</e2> to reach me
-(e1, e2)
a8ace68534381de6693b2cd4a413efea.(3, 20).Apex	also it was <e1>only</e1> 39 99 after rebate with free shipping and no tax so overall it is a decent <e2>player</e2>
-(e1, e2)
8ba70e597cfc6e241555d687623ddb4e.(3, 16).Apex	in addition it <e1>only</e1> seems to work if you 're about five foot away from the <e2>player</e2> although that may have been just the battery that came with it
-(e1, e2)
5a3288ba1d03d602b3367a0c74ac0315.(1, 11).Apex	the <e1>only</e1> thing i did experience was a problem of the <e2>player</e2> freezing while playing which i was able to clear by opening it up and blowing it out with canned air
-(e1, e2)
256a16fc9dc0e71824538ba5f5652a2a.(3, 7).Apex	granted i have <e1>only</e1> used this dvd <e2>player</e2> for about 2 hour setting it up for my mom for christmas but that was long enough for me to find problem with this dvd player
-(e1, e2)
256a16fc9dc0e71824538ba5f5652a2a.(3, 33).Apex	granted i have <e1>only</e1> used this dvd player for about 2 hour setting it up for my mom for christmas but that was long enough for me to find problem with this dvd <e2>player</e2>
-(e1, e2)
c6b55dc63ae357379b1ceebd32e4b39a.(4, 7).Apex	so far we 've <e1>only</e1> used this <e2>player</e2> a few time to watch movie and it has worked fine
-(e1, e2)
7f8064a47247d5d7c3d9f96b0cb56d24.(7, 11).Apex	i was surprised to find that not <e1>only</e1> could this dvd <e2>player</e2> play mpeg2 format which allowed me to stack 2 movie on a dvd but it also was able to play vob file which i created with smart ripper
-(e1, e2)
ef8c9c3238c0997f0a50179e0167afa6.(0, 18).Apex	<e1>only</e1> owned it about two week so i expect we 're looking at getting another progressive scan dvd <e2>player</e2> of higher quality very soon
-(e1, e2)
37f15e561ae7ac9028bbedac55bbb567.(6, 17).Apex	at first i thought it is <e1>only</e1> a isolated incident but i was proven wrong when the <e2>player</e2> would not read my alias dvds as well
-(e1, e2)
521121be8f6569821c970c8fc219b7d7.(2, 10).Apex	it played <e1>only</e1> one out of three dvd 's without <e2>problem</e2> the other two being afflicted by a number of glitch
-(e1, e2)
5a3288ba1d03d602b3367a0c74ac0315.(1, 8).Apex	the <e1>only</e1> thing i did experience was a <e2>problem</e2> of the player freezing while playing which i was able to clear by opening it up and blowing it out with canned air
-(e1, e2)
256a16fc9dc0e71824538ba5f5652a2a.(3, 29).Apex	granted i have <e1>only</e1> used this dvd player for about 2 hour setting it up for my mom for christmas but that was long enough for me to find <e2>problem</e2> with this dvd player
-(e1, e2)
805fb64ce9cfd89eb965b553110a9c78.(2, 10).Apex	it play <e1>original</e1> dvds and cd and play mp3s and <e2>jpegs</e2>
-(e1, e2)
805fb64ce9cfd89eb965b553110a9c78.(2, 8).Apex	it play <e1>original</e1> dvds and cd and play <e2>mp3s</e2> and jpegs
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(22, 50).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in <e2>anything</e2> but the dvd burner itself that i had made the disc with
-(e1, e2)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 7).Apex	i have sent my ad2600 back to <e1>apex</e1> because it wo n 't play certain disney and <e2>other</e2> dvd movie no disc message
-(e2, e1)
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(12, 14).Apex	my other gripe is the incredibly crappy remote which is worse than <e1>other</e1> cheaper <e2>apex</e2> unit
-(e1, e2)
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(1, 14).Apex	my <e1>other</e1> gripe is the incredibly crappy remote which is worse than other cheaper <e2>apex</e2> unit
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(18, 33).Apex	i read in consumer report that apex is a reliable brand but with my experience and reading the <e1>other</e1> review i think i will be doing a little more homework before considering another <e2>apex</e2> product
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(18, 6).Apex	i read in consumer report that <e1>apex</e1> is a reliable brand but with my experience and reading the <e2>other</e2> review i think i will be doing a little more homework before considering another apex product
-(e2, e1)
5af90fdafd59b525226aefa2ffc9fd00.(18, 10).Apex	i read in consumer report that apex is a reliable <e1>brand</e1> but with my experience and reading the <e2>other</e2> review i think i will be doing a little more homework before considering another apex product
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(22, 54).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd <e2>burner</e2> itself that i had made the disc with
-(e1, e2)
52dcfd70b988f7387128d0690c5725e0.(1, 16).Apex	the <e1>other</e1> thing i do n 't like about this 2600 is that it makes the <e2>color</e2> look over saturated
-(e1, e2)
9b11689d3b0c95dc2f00e7b8943b4934.(4, 17).Apex	unlike some of the <e1>other</e1> people who received a lemon my dvd player came in perfect working <e2>condition</e2>
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(18, 3).Apex	i read in <e1>consumer</e1> report that apex is a reliable brand but with my experience and reading the <e2>other</e2> review i think i will be doing a little more homework before considering another apex product
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 21).Apex	i have sent my ad2600 back to apex because it wo n 't play certain disney and <e1>other</e1> dvd movie no <e2>disc</e2> message
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(22, 61).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the <e2>disc</e2> with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(22, 19).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium <e1>disc</e1> 's that <e2>other</e2> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 15).Apex	i have sent my ad2600 back to apex because it wo n 't play certain <e1>disney</e1> and <e2>other</e2> dvd movie no disc message
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 18).Apex	i have sent my ad2600 back to apex because it wo n 't play certain disney and <e1>other</e1> <e2>dvd</e2> movie no disc message
-(e1, e2)
521121be8f6569821c970c8fc219b7d7.(12, 7).Apex	it played only one out of three <e1>dvd</e1> 's without problem the <e2>other</e2> two being afflicted by a number of glitch
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(22, 53).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the <e2>dvd</e2> burner itself that i had made the disc with
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(22, 16).Apex	when i 1st tried it i found that it had no problem playing the more expensive <e1>dvd</e1> r medium disc 's that <e2>other</e2> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
9b11689d3b0c95dc2f00e7b8943b4934.(4, 11).Apex	unlike some of the <e1>other</e1> people who received a lemon my <e2>dvd</e2> player came in perfect working condition
-(e1, e2)
5af90fdafd59b525226aefa2ffc9fd00.(18, 14).Apex	i read in consumer report that apex is a reliable brand but with my <e1>experience</e1> and reading the <e2>other</e2> review i think i will be doing a little more homework before considering another apex product
-(e2, e1)
a981acb506188c8737a2ad731e15dfff.(14, 15).Apex	i only wanted something to play dvds on but this machine has all these <e1>other</e1> <e2>feature</e2> that i probably will never use but it 's nice to know that there 're there
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(22, 34).Apex	the unit seems to play all format that i have put in it jpeg kodak pic 's and dvd-r i have read <e1>other</e1> review and some good and soom not so good but my <e2>feeling</e2> at this time is two thumb up
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(22, 6).Apex	the unit seems to play all <e1>format</e1> that i have put in it jpeg kodak pic 's and dvd-r i have read <e2>other</e2> review and some good and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
6513c98716058aac2f83fc6564af3fd0.(26, 29).Apex	i 've had this player for several month and it read most discs but it would not recognize several discs that were clean and read on <e1>other</e1> player from <e2>friend</e2> season 2
-(e1, e2)
554c4ad0dd6259a9c61e4817388e8064.(22, 13).Apex	the unit seems to play all format that i have put in it <e1>jpeg</e1> kodak pic 's and dvd-r i have read <e2>other</e2> review and some good and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
52dcfd70b988f7387128d0690c5725e0.(1, 17).Apex	the <e1>other</e1> thing i do n 't like about this 2600 is that it makes the color <e2>look</e2> over saturated
-(e1, e2)
a981acb506188c8737a2ad731e15dfff.(14, 10).Apex	i only wanted something to play dvds on but this <e1>machine</e1> has all these <e2>other</e2> feature that i probably will never use but it 's nice to know that there 're there
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(22, 18).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r <e1>medium</e1> disc 's that <e2>other</e2> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(22, 35).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> player would play but to my surprise was able to play cheep <e2>medium</e2> that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 22).Apex	i have sent my ad2600 back to apex because it wo n 't play certain disney and <e1>other</e1> dvd movie no disc <e2>message</e2>
-(e1, e2)
de26e922f5cfd35c976f25852b35be7d.(13, 14).Apex	its fast-forward and rewind work much more smoothly and consistently than those of <e1>other</e1> <e2>model</e2> i 've had
-(e1, e2)
6513c98716058aac2f83fc6564af3fd0.(26, 7).Apex	i 've had this player for several <e1>month</e1> and it read most discs but it would not recognize several discs that were clean and read on <e2>other</e2> player from friend season 2
-(e2, e1)
62cf1a8d3b2e903f5a6f46e8d99bb3c2.(17, 19).Apex	i have sent my ad2600 back to apex because it wo n 't play certain disney and <e1>other</e1> dvd <e2>movie</e2> no disc message
-(e1, e2)
0d0f8d64973f708c799e4e49d6909dfd.(23, 20).Apex	it sends discoutinous signal to tv so the tv has the picture for one moment and has only the white <e1>noise</e1> for the <e2>other</e2> moment
-(e2, e1)
554c4ad0dd6259a9c61e4817388e8064.(22, 15).Apex	the unit seems to play all format that i have put in it jpeg kodak <e1>pic</e1> 's and dvd-r i have read <e2>other</e2> review and some good and soom not so good but my feeling at this time is two thumb up
-(e2, e1)
e4730539ff132950b9f794e6c42e8042.(15, 11).Apex	it worked from 12-26 to 1 9 at which time the <e1>picture</e1> failed completely see <e2>other</e2> negative reviews-my unit was n 't the only one this happened to
-(e2, e1)
0d0f8d64973f708c799e4e49d6909dfd.(23, 11).Apex	it sends discoutinous signal to tv so the tv has the <e1>picture</e1> for one moment and has only the white noise for the <e2>other</e2> moment
-(e2, e1)
9b11689d3b0c95dc2f00e7b8943b4934.(4, 12).Apex	unlike some of the <e1>other</e1> people who received a lemon my dvd <e2>player</e2> came in perfect working condition
-(e1, e2)
8fd7717f6f4b86db0002350fe4354721.(22, 23).Apex	when i 1st tried it i found that it had no problem playing the more expensive dvd r medium disc 's that <e1>other</e1> <e2>player</e2> would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e1, e2)
6513c98716058aac2f83fc6564af3fd0.(26, 4).Apex	i 've had this <e1>player</e1> for several month and it read most discs but it would not recognize several discs that were clean and read on <e2>other</e2> player from friend season 2
-(e2, e1)
6513c98716058aac2f83fc6564af3fd0.(26, 27).Apex	i 've had this player for several month and it read most discs but it would not recognize several discs that were clean and read on <e1>other</e1> <e2>player</e2> from friend season 2
-(e1, e2)
521121be8f6569821c970c8fc219b7d7.(12, 10).Apex	it played only one out of three dvd 's without <e1>problem</e1> the <e2>other</e2> two being afflicted by a number of glitch
-(e2, e1)
8fd7717f6f4b86db0002350fe4354721.(22, 11).Apex	when i 1st tried it i found that it had no <e1>problem</e1> playing the more expensive dvd r medium disc 's that <e2>other</e2> player would play but to my surprise was able to play cheep medium that i had burned that i could n 't get to work before in anything but the dvd burner itself that i had made the disc with
-(e2, e1)
5af90fdafd59b525226aefa2ffc9fd00.(18, 34).Apex	i read in consumer report that apex is a reliable brand but with my experience and reading the <e1>other</e1> review i think i will be doing a little more homework before considering another apex <e2>product</e2>
-(e1, e2)
972c9a8ae7cdb01c2d55a7fe93e6ecd2.(1, 7).Apex	my <e1>other</e1> gripe is the incredibly crappy <e2>remote</e2> which is worse than other cheaper apex unit
-(e1, e2)
